date,agent_id,agent_name,shift,experience_months,calls_handled,aht_seconds,csat_score,abandon_rate,fcr_rate,calls_in_queue,day_of_week,is_monday,is_night_shift
2024-07-01,1,Sofia Morales,morning,29,45,192,4.59,0.1852,0.8442,39,0,1,0
2024-07-01,2,Carlos Pérez,morning,15,44,254,4.09,0.2175,0.7279,45,0,1,0
2024-07-01,3,Ana López,night,8,13,329,3.94,0.1705,0.6721,39,0,1,1
2024-07-01,4,Miguel Torres,morning,21,35,213,4.42,0.2129,0.7045,40,0,1,0
2024-07-01,5,Lucía Ramírez,morning,19,43,274,4.0,0.2084,0.8612,47,0,1,0
2024-07-01,6,Diego Hernández,afternoon,23,44,223,5.0,0.2149,0.901,45,0,1,0
2024-07-01,7,María García,night,11,17,307,3.66,0.1493,0.6627,29,0,1,1
2024-07-01,8,José Martínez,morning,11,50,220,4.14,0.2246,0.7238,45,0,1,0
2024-07-01,9,Isabella Flores,night,24,28,290,4.36,0.1575,0.9243,33,0,1,1
2024-07-01,10,Andrés Castro,afternoon,24,43,161,4.54,0.2008,0.8895,44,0,1,0
2024-07-01,11,Valentina Ruiz,morning,3,40,284,3.86,0.1678,0.6533,34,0,1,0
2024-07-01,12,Eduardo Vega,afternoon,22,33,239,4.84,0.2483,0.8717,48,0,1,0
2024-07-01,13,Camila Ortiz,night,2,18,336,3.33,0.1577,0.4761,34,0,1,1
2024-07-01,14,Roberto Díaz,night,24,23,237,4.25,0.1832,0.7462,39,0,1,1
2024-07-01,15,Daniela Vargas,morning,30,34,169,5.0,0.1803,0.8993,43,0,1,0
2024-07-01,16,Fernando Reyes,morning,2,39,257,3.65,0.1801,0.5637,44,0,1,0
2024-07-01,17,Gabriela Méndez,morning,21,51,190,4.31,0.1909,0.8261,38,0,1,0
2024-07-01,18,Pablo Jiménez,morning,33,54,147,5.0,0.2346,0.8102,45,0,1,0
2024-07-01,19,Laura Sánchez,afternoon,12,38,225,4.21,0.2017,0.6925,47,0,1,0
2024-07-01,20,Ricardo Chávez,morning,22,49,244,4.59,0.181,0.8442,43,0,1,0
2024-07-02,1,Sofia Morales,morning,29,50,174,4.65,0.0884,0.7251,14,1,0,0
2024-07-02,2,Carlos Pérez,night,15,39,303,3.47,0.0413,0.7819,11,1,0,1
2024-07-02,3,Ana López,morning,8,45,273,3.96,0.0915,0.6586,18,1,0,0
2024-07-02,4,Miguel Torres,morning,21,51,244,4.58,0.094,0.9272,16,1,0,0
2024-07-02,5,Lucía Ramírez,morning,19,37,194,4.27,0.018,0.7512,0,1,0,0
2024-07-02,6,Diego Hernández,morning,23,55,196,4.57,0.0826,0.95,12,1,0,0
2024-07-02,7,María García,afternoon,11,44,200,4.03,0.0872,0.7431,17,1,0,0
2024-07-02,8,José Martínez,morning,11,55,293,4.91,0.0826,0.6798,15,1,0,0
2024-07-02,9,Isabella Flores,afternoon,24,25,211,4.36,0.0946,0.8619,19,1,0,0
2024-07-02,10,Andrés Castro,afternoon,24,42,221,4.22,0.0709,0.7811,16,1,0,0
2024-07-02,11,Valentina Ruiz,afternoon,3,29,215,3.62,0.0838,0.5141,11,1,0,0
2024-07-02,12,Eduardo Vega,morning,22,48,287,4.55,0.0436,0.7135,13,1,0,0
